,state,arma_09_23_perf_20,dfm_mini_local_09_23_perf_20,dfm_mini_local_trends_09_23_perf_20,dfm_mini_local_trends_all_09_23_perf_20,mini_over_arma_09_23_perf_20,trends_over_mini_09_23_perf_20,all_over_trends_09_23_perf_20,dfm_mini_local_joint_09_23_perf_20,dfm_mini_local_trends_joint_09_23_perf_20,dfm_mini_local_trends_all_joint_09_23_perf_20
0,AK,-0.01277726096179954,-0.08830936763771713,-0.06317660898379729,-0.06579202906514148,-0.07553210667591759,0.02513275865391984,-0.0026154200813441886,-0.05407409592157375,-0.09052755312446714,-0.0769361872937957
1,AL,0.1636957105416806,0.2686330437249699,0.2552562740486706,0.2531221782271789,0.10493733318328927,-0.013376769676299305,-0.002134095821491655,0.3153714796404448,0.2989735409882085,0.2331013247167136
2,AR,0.1222471072447409,0.16949902749782,0.1711096501540894,0.1788298961297545,0.0472519202530791,0.001610622656269406,0.007720245975665091,0.1883093893678112,0.1946528147200403,0.1712862118397732
3,AZ,0.2255774328391866,0.2272583841508856,0.2179621835092234,0.2005115884390604,0.001680951311698986,-0.0092962006416622,-0.017450595070163,0.1675902430858177,0.1621601520578656,0.1336361609327104
4,CO,0.4670932112491755,0.5301543523753014,0.5207293480732929,0.5026459412908679,0.06306114112612587,-0.009425004302008544,-0.018083406782424927,0.5393192732598706,0.5495379005510239,0.5142386965281738
5,CT,0.2437552984675726,0.3381985702658561,0.3514026073452595,0.3490206799283195,0.09444327179828349,0.01320403707940343,-0.002381927416940044,0.3524568082249856,0.3597585373745136,0.3557530795459243
6,DC,0.1651391609221006,0.2399196513792642,0.2185853003477212,0.1838264315346438,0.07478049045716359,-0.021334351031542992,-0.03475886881307738,0.2229656040242739,0.1913235239199684,0.2102911209187656
7,FL,0.2289773387214528,0.2525973033201659,0.2426564976567526,0.248837094325436,0.0236199645987131,-0.009940805663413294,0.006180596668683397,0.2358706109369617,0.2414030871425246,0.2460108649658952
8,GA,0.1860170382825675,0.2800141856194921,0.2478973335624369,0.3025009952084703,0.0939971473369246,-0.032116852057055195,0.05460366164603339,0.3143325353600859,0.2830099612228839,0.2975882553334503
9,HI,0.4035788492037307,0.4209564797601335,0.4214202838665936,0.420564444990024,0.01737763055640279,0.0004638041064600751,-0.0008558388765695923,0.4416607183407805,0.4381032812195153,0.4401643031015409
10,IA,0.2058181032177043,0.248731930110937,0.2423631646182207,0.2489446825696437,0.0429138268932327,-0.006368765492716311,0.006581517951423005,0.2251462746594345,0.2485729844985201,0.2106340006844639
11,ID,0.1290438519850646,0.1799119792253155,0.1921248998061466,0.1796466004361487,0.05086812724025089,0.012212920580831121,-0.01247829936999792,0.1489296714637255,0.1745410945929373,0.1400487076280095
12,IL,0.4194215979970133,0.5054644277537554,0.5159692440618313,0.5144974902295134,0.08604282975674216,0.01050481630807587,-0.0014717538323179014,0.5477827970363165,0.5303106639330529,0.5188438674369549
13,IN,0.1427271183131401,0.2234308136755344,0.2085692141510368,0.2357391808170684,0.0807036953623943,-0.014861599524497615,0.02716996666603161,0.2378051111207005,0.2265049692620318,0.2334394449990272
14,KS,0.1027875005451044,0.1559443876790896,0.1703215405578467,0.1833900483085614,0.05315688713398521,0.014377152878757099,0.013068507750714692,0.1936462250360279,0.1551877253794616,0.1869706885175154
15,KY,0.2681198536161847,0.3377676030616622,0.3169276750648178,0.3470246606927535,0.06964774944547752,-0.02083992799684442,0.030096985627935724,0.3684824859009825,0.3199689611418345,0.3160969591505167
16,LA,0.1738862550538846,0.2082720008501231,0.1971697577268088,0.2011477985686404,0.03438574579623849,-0.011102243123314287,0.003978040841831593,0.1821032375401722,0.1830855168368489,0.2038329409470833
17,MA,0.4200997583045822,0.466263008247891,0.4782864513044387,0.4721699924085241,0.04616324994330884,0.012023443056547678,-0.0061164588959146116,0.4469547811744609,0.4666969102650002,0.4387826941977918
18,ME,0.288590478921491,0.2889877466881899,0.2919445621760042,0.2915505236098265,0.0003972677666989055,0.0029568154878142905,-0.0003940385661777013,0.2816344006633196,0.2876497167782519,0.2943788495230196
19,MI,0.3082145663140422,0.3974455403412072,0.3425555733995621,0.3626312365879903,0.08923097402716501,-0.05488996694164511,0.020075663188428183,0.4206797036221341,0.3626266589666514,0.3713595537058864
20,MO,0.1397595357563273,0.1753788207285774,0.1925172026636439,0.2007319200128662,0.035619284972250115,0.017138381935066477,0.0082147173492223,0.1246579475166659,0.110262838746968,0.1515088202557341
21,MT,0.1369167130503356,0.2061978512742774,0.2083533365166971,0.1870329773737898,0.0692811382239418,0.002155485242419708,-0.021320359142907308,0.1785409244956707,0.1843846335596482,0.1747166579879946
22,NC,0.1757440125239994,0.3174452377576887,0.3259174374382948,0.2823306344687959,0.14170122523368928,0.00847219968060614,-0.043586802969498906,0.3059630878640618,0.3176269720795336,0.3021701888608078
23,NJ,0.3809563912372551,0.4214031974213069,0.4410457114827615,0.4395222084054805,0.040446806184051776,0.01964251406145462,-0.0015235030772809965,0.45221850249045,0.4258893150258458,0.4378639603226029
24,NV,0.5494830146175573,0.4829661634472255,0.5150693226648879,0.5240100025503345,-0.06651685117033185,0.032103159217662436,0.008940679885446556,0.4253733042879656,0.4570515755348477,0.5041620897301697
25,NY,0.4526312944697524,0.5176129052459162,0.5190384925956731,0.5277267481853455,0.06498161077616377,0.0014255873497569516,0.008688255589672345,0.5281969827739414,0.5080646633457441,0.5120457660940873
26,OR,0.3170965302292537,0.4272111747692096,0.4480485773741258,0.4440916272777216,0.1101146445399559,0.020837402604916178,-0.003956950096404177,0.4092220214535721,0.4164021532960183,0.4499211822380096
27,SC,0.1923279579862639,0.3079192528107807,0.2874197384324585,0.3314373108596362,0.1155912948245168,-0.020499514378322203,0.04401757242717769,0.3310204621498658,0.3150588205711339,0.3370994184533224
28,TN,0.06562480924859715,0.2127276972680936,0.1958241885465594,0.1885573575183371,0.14710288801949645,-0.016903508721534205,-0.007266831028222287,0.2489535245609995,0.1754619255863552,0.1726466536083312
29,VA,0.1632299685825517,0.1804091857161254,0.2001308691567505,0.1900490379342971,0.017179217133573704,0.019721683440625082,-0.010081831222453402,0.1912378299504029,0.2212853639002125,0.2115687002815808
30,WA,0.3892252831861168,0.4888414234589787,0.4992799256131965,0.5002118253771626,0.09961614027286186,0.010438502154217821,0.0009318997639660709,0.4783822026841884,0.4956768251597667,0.4792297539181298
31,WI,0.3033735629816052,0.4027615715699959,0.4307545233691685,0.4277204091316863,0.0993880085883907,0.02799295179917255,-0.0030341142374821772,0.4186411889682893,0.4212988901141588,0.4548910971095573
32,CA,0.5035185645647227,0.584710104714125,0.5675570941108046,0.5192104420263666,0.08119154014940233,-0.017153010603320418,-0.048346652084438,0.5721923452301536,0.5810905926048613,0.5526171799231204
33,MD,0.1825332511908627,0.1838516992683233,0.2063283432199529,0.2272625581349886,0.0013184480774605933,0.0224766439516296,0.02093421491503572,0.2119349849161901,0.2340627788484194,0.2240184366299376
34,MN,0.291371815439094,0.3386692566892768,0.3343992664729454,0.3506419276957702,0.04729744125018276,-0.0042699902163313985,0.016242661222824806,0.356738395774827,0.3576858548220592,0.3486946447069533
35,NE,0.1314933220517462,0.1116266161030114,0.09725029618617353,0.1096086178365202,-0.019866705948734784,-0.014376319916837868,0.01235832165034667,0.07444563585837738,0.1062313741799561,0.1079650287976204
36,NH,0.2553133327622804,0.2103755561453501,0.2026346785548894,0.2221747027732007,-0.0449377766169303,-0.007740877590460715,0.019540024218311303,0.2130016808629379,0.2443156366163778,0.2460356435108273
37,NM,0.2786457690131187,0.2897223363029121,0.2872388358873283,0.2782652175605526,0.011076567289793393,-0.002483500415583817,-0.008973618326775679,0.2994557371624683,0.3125328898667971,0.2929988963329357
38,OH,0.306917006359094,0.3254001156749571,0.314388829518727,0.3482252207516013,0.018483109315863055,-0.011011286156230093,0.0338363912328743,0.3311262410516893,0.251223466531633,0.3000519135913691
39,OK,0.1077460148978866,0.175631835389838,0.1512544772478134,0.1642060309203629,0.06788582049195141,-0.024377358142024602,0.012951553672549493,0.1488063612096108,0.1425328533419776,0.1359006868355537
40,PA,0.4941890185788825,0.4649775870903754,0.5183406530060293,0.517835611631667,-0.029211431488507078,0.05336306591565387,-0.0005050413743622473,0.5841454160144814,0.5243569286747053,0.5293663434165284
41,TX,0.3312593904592216,0.4335026172925794,0.4496331210530676,0.4367460878195774,0.10224322683335779,0.01613050376048819,-0.012887033233490164,0.4376189607439418,0.4428488769710294,0.4227984527202405
42,UT,0.2502832978706351,0.196392766644803,0.2047541105115179,0.1898497351838355,-0.05389053122583207,0.008361343866714888,-0.014904375327682406,0.1737683976825937,0.2606386515724488,0.2326518173675739
43,DE,-0.0254252038769236,0.1792226253802862,0.1499870921520425,0.1603235253728249,0.20464782925720978,-0.029235533228243682,0.010336433220782398,0.2014309445085324,0.1576954165495615,0.1384309053329574
44,MS,0.1188925046628807,0.1081203044649177,0.1142912868158771,0.1291766269512012,-0.010772200197963003,0.006170982350959392,0.014885340135324096,0.1544129240117819,0.1534197417042705,0.1249355752494239
45,ND,0.1527123610596911,0.1102509670558017,0.08363929032820672,0.1299246825153961,-0.0424613940038894,-0.026611676727594985,0.046285392187189384,0.03079707628289474,0.03201514462960819,0.1367118598809443
46,SD,0.145993453646428,0.1105489489363797,0.08857707284319771,0.1246053599137064,-0.035444504710048286,-0.02197187609318199,0.03602828707050869,0.105836657145145,0.1021966291287338,0.06496988052049124
47,VT,0.3012272068744684,0.337791550252042,0.3417271375296823,0.3322013862415661,0.03656434337757358,0.003935587277640318,-0.009525751288116224,0.3330997433201862,0.3371450451892072,0.329493216410208
48,WY,0.1606635447420952,0.1841824481160643,0.1878340105305741,0.1793677508825858,0.023518903373969086,0.0036515624145098124,-0.008466259647988306,0.1991984653536719,0.1894573674490123,0.1792647358991767
49,RI,0.3723426965189455,0.3977090423374989,0.4220377659866321,0.4169800367605953,0.02536634581855335,0.024328723649133244,-0.005057729226036811,0.4395797785623602,0.4381770855465982,0.426191715841264
50,WV,0.1842865231520676,0.08935104104673519,0.08779882618412138,0.09944475168168532,-0.0949354821053324,-0.00155221486261381,0.011645925497563936,0.0995671565191778,0.08378700313321163,0.05836386015810391
